"station_in","station_out","value","shortest_paths"
"七宝","七宝",193,0
"七宝","三林",67,12
"七宝","三林东",37,13
"七宝","三门路",2,22
"七宝","上南路",21,13
"七宝","上大路",38,18
"七宝","上海体育场",118,7
"七宝","上海体育馆",104,6
"七宝","上海儿童医学中心",25,15
"七宝","上海动物园",3,11
"七宝","上海南站",151,8
"七宝","上海图书馆",7,8
"七宝","上海大学",45,20
"七宝","上海汽车城",2,23
"七宝","上海游泳馆",71,7
"七宝","上海火车站",207,13
"七宝","上海科技馆",43,15
"七宝","上海西站",49,13
"七宝","上海赛车场",39,21
"七宝","上海野生动物园",15,21
"七宝","上海马戏城",85,16
"七宝","世纪公园",57,16
"七宝","世纪大道",337,14
"七宝","东安路",176,8
"七宝","东宝兴路",64,15
"七宝","东川路",7,18
"七宝","东方体育中心",14,11
"七宝","东昌路",40,14
"七宝","东明路",30,15
"七宝","东陆路",4,22
"七宝","东靖路",24,24
"七宝","中兴路",59,13
"七宝","中华艺术宫",20,12
"七宝","中山公园",251,8
"七宝","中山北路",54,14
"七宝","中春路",81,1
"七宝","中潭路",66,12
"七宝","丰庄",25,13
"七宝","临平路",56,16
"七宝","临沂新村",46,15
"七宝","临港大道",2,25
"七宝","九亭",1702,2
"七宝","书院",2,24
"七宝","云台路",32,13
"七宝","云山路",35,19
"七宝","云锦路",16,9
"七宝","五洲大道",20,25
"七宝","五莲路",33,22
"七宝","五角场",32,20
"七宝","交通大学",79,7
"七宝","人民广场",390,11
"七宝","伊犁路",8,8
"七宝","佘山",1289,4
"七宝","兆丰路",17,25
"七宝","光明路",8,26
"七宝","共富新村",42,22
"七宝","共康路",46,19
"七宝","凌兆新村",35,12
"七宝","凌空路",5,25
"七宝","刘行",19,23
"七宝","创新中路",3,22
"七宝","剑川路",5,17
"七宝","北新泾",4,11
"七宝","北桥",5,16
"七宝","北洋泾路",30,17
"七宝","华夏东路",37,23
"七宝","华夏西路",5,14
"七宝","南京东路",151,12
"七宝","南京西路",156,10
"七宝","南浦大桥",40,12
"七宝","南翔",79,18
"七宝","南陈路",17,19
"七宝","博兴路",50,21
"七宝","友谊西路",10,24
"七宝","友谊路",21,26
"七宝","合川路",1184,2
"七宝","同济大学",20,18
"七宝","后滩",19,10
"七宝","周浦东",25,17
"七宝","呼兰路",21,21
"七宝","唐镇",59,21
"七宝","商城路",502,13
"七宝","嘉善路",405,8
"七宝","嘉定北",56,23
"七宝","嘉定新城",36,20
"七宝","嘉定西",34,22
"七宝","四川北路",39,14
"七宝","四平路",32,17
"七宝","国权路",24,19
"七宝","国际客运中心",20,14
"七宝","场中路",40,17
"七宝","塘桥",75,13
"七宝","外环路",12,11
"七宝","外高桥保税区北",12,29
"七宝","外高桥保税区南",27,27
"七宝","大世界",157,12
"七宝","大华三路",77,14
"七宝","大场镇",14,16
"七宝","大木桥路",60,9
"七宝","大柏树",97,17
"七宝","大渡河路",40,10
"七宝","大连路",101,16
"七宝","天潼路",80,13
"七宝","威宁路",18,10
"七宝","娄山关路",55,9
"七宝","嫩江路",29,24
"七宝","宁国路",27,18
"七宝","安亭",27,24
"七宝","宋园路",4,7
"七宝","宜山路",1102,5
"七宝","宝安公路",27,23
"七宝","宝山路",41,14
"七宝","宝杨路",7,25
"七宝","富锦路",29,25
"七宝","小南门",195,12
"七宝","岚皋路",43,12
"七宝","川沙",48,24
"七宝","巨峰路",23,23
"七宝","市光路",32,25
"七宝","常熟路",192,8
"七宝","广兰路",108,20
"七宝","延吉中路",49,21
"七宝","延安西路",167,7
"七宝","延长路",91,15
"七宝","张华浜",2,22
"七宝","张江高科",173,18
"七宝","彭浦新村",84,18
"七宝","徐家汇",1465,6
"七宝","徐泾东",16,15
"七宝","御桥",78,15
"七宝","德平路",32,18
"七宝","惠南",44,22
"七宝","惠南东",1,23
"七宝","成山路",55,13
"七宝","打浦桥",746,9
"七宝","提篮桥",9,15
"七宝","新场",19,20
"七宝","新天地",14,10
"七宝","新村路",123,13
"七宝","新江湾城",6,24
"七宝","新闸路",71,12
"七宝","昌吉东路",7,22
"七宝","昌平路",235,10
"七宝","星中路",266,1
"七宝","春申路",2,13
"七宝","曲阜路",31,12
"七宝","曲阳路",49,16
"七宝","曹杨路",192,10
"七宝","李子园路",74,14
"七宝","杨思",52,12
"七宝","杨树浦路",101,16
"七宝","杨高中路",215,15
"七宝","杨高北路",4,24
"七宝","杨高南路",60,15
"七宝","松江体育中心",527,8
"七宝","松江南站",57,10
"七宝","松江大学城",1339,6
"七宝","松江新城",515,7
"七宝","枫桥路",61,11
"七宝","桂林路",1203,4
"七宝","桃浦新村",51,17
"七宝","武威路",16,16
"七宝","武宁路",22,10
"七宝","殷高东路",1,23
"七宝","殷高西路",33,19
"七宝","民生路",46,16
"七宝","水产路",18,24
"七宝","水城路",4,9
"七宝","汉中路",92,13
"七宝","江月路",58,15
"七宝","江杨北路",6,28
"七宝","江浦公园",18,17
"七宝","江浦路",41,19
"七宝","江湾体育场",27,21
"七宝","江湾镇",67,18
"七宝","江苏路",236,8
"七宝","汶水路",88,17
"七宝","沈杜公路",106,17
"七宝","泗泾",1487,3
"七宝","洞泾",434,5
"七宝","洲海路",13,26
"七宝","浦三路",27,14
"七宝","浦东国际机场",36,28
"七宝","浦东大道",88,15
"七宝","浦江镇",45,14
"七宝","浦电路",190,15
"七宝","海伦路",39,15
"七宝","海天三路",7,27
"七宝","淞发路",9,21
"七宝","淞滨路",17,23
"七宝","淞虹路",18,12
"七宝","港城路",5,30
"七宝","源深体育中心",48,15
"七宝","滴水湖",5,26
"七宝","漕宝路",82,7
"七宝","漕河泾开发区",2260,3
"七宝","漕溪路",65,6
"七宝","潘广路",6,24
"七宝","灵岩南路",19,12
"七宝","爱国路",17,20
"七宝","申江路",5,26
"七宝","白银路",21,21
"七宝","真北路",53,11
"七宝","真如",37,12
"七宝","石龙路",98,8
"七宝","祁华路",3,21
"七宝","祁连山南路",26,12
"七宝","祁连山路",59,15
"七宝","罗南新村",13,25
"七宝","罗山路",34,16
"七宝","美兰湖",31,26
"七宝","翔殷路",30,23
"七宝","耀华路",84,12
"七宝","老西门",74,11
"七宝","联航路",43,16
"七宝","肇嘉浜路",571,7
"七宝","航中路",2,13
"七宝","航头东",4,19
"七宝","航津路",24,28
"七宝","芦恒路",41,13
"七宝","花木路",130,18
"七宝","花桥",23,27
"七宝","芳华路",113,17
"七宝","莘庄",33,12
"七宝","莲花路",49,10
"七宝","蓝村路",57,14
"七宝","虹口足球场",106,15
"七宝","虹桥2号航站楼",2,13
"七宝","虹桥火车站",16,14
"七宝","虹桥路",104,6
"七宝","行知路",81,15
"七宝","衡山路",42,7
"七宝","西藏北路",70,14
"七宝","西藏南路",108,11
"七宝","豫园",60,12
"七宝","赤峰路",51,16
"七宝","远东大道",3,26
"七宝","通河新村",63,20
"七宝","邮电新村",8,16
"七宝","醉白池",277,9
"七宝","金京路",4,25
"七宝","金平路",3,19
"七宝","金桥路",75,20
"七宝","金沙江西路",8,14
"七宝","金沙江路",111,9
"七宝","金海路",25,27
"七宝","金科路",134,19
"七宝","金运路",25,15
"七宝","铁力路",5,27
"七宝","锦江乐园",14,9
"七宝","锦绣路",62,16
"七宝","镇坪路",133,11
"七宝","长寿路",265,11
"七宝","长江南路",40,20
"七宝","长清路",73,11
"七宝","闵行开发区",4,22
"七宝","陆家嘴",219,13
"七宝","陆家浜路",348,11
"七宝","陕西南路",172,9
"七宝","隆德路",77,9
"七宝","隆昌路",27,19
"七宝","静安寺",457,9
"七宝","鞍山新村",33,18
"七宝","顾村公园",104,22
"七宝","颛桥",2,15
"七宝","马当路",283,10
"七宝","马陆",38,19
"七宝","高科西路",39,14
"七宝","高青路",22,15
"七宝","鲁班路",66,10
"七宝","鹤沙航城",13,18
"七宝","黄兴公园",19,22
