"line_in","line_out","count"
1,1,302164
1,2,77274
1,3,28349
1,4,30255
1,5,25984
1,6,11851
1,7,36096
1,8,62882
1,9,35983
1,10,12156
1,11,22237
1,12,5444
1,13,6230
1,16,3096
2,1,75884
2,2,298363
2,3,32587
2,4,43056
2,5,3204
2,6,35700
2,7,48906
2,8,49709
2,9,32473
2,10,49775
2,11,34928
2,12,7095
2,13,5881
2,16,9368
3,1,28105
3,2,34840
3,3,142484
3,4,40391
3,5,4267
3,6,7437
3,7,26238
3,8,24784
3,9,23850
3,10,19249
3,11,20254
3,12,6864
3,13,12398
3,16,1128
4,1,34578
4,2,45144
4,3,40797
4,4,49016
4,5,3767
4,6,17168
4,7,23096
4,8,26601
4,9,20050
4,10,17418
4,11,10708
4,12,8384
4,13,6278
4,16,2759
5,1,27749
5,2,3548
5,3,4262
5,4,3444
5,5,18058
5,6,754
5,7,3273
5,8,3688
5,9,2884
5,10,1235
5,11,1977
5,12,425
5,13,610
5,16,107
6,1,12001
6,2,38697
6,3,8113
6,4,17806
6,5,768
6,6,54539
6,7,14164
6,8,13221
6,9,17446
6,10,7506
6,11,6513
6,12,5864
6,13,1501
6,16,2372
7,1,37831
7,2,53707
7,3,27916
7,4,23099
7,5,3166
7,6,14132
7,7,125935
7,8,30567
7,9,39386
7,10,11756
7,11,10033
7,12,3330
7,13,11530
7,16,2775
8,1,58917
8,2,50949
8,3,24639
8,4,25964
8,5,3314
8,6,13137
8,7,29977
8,8,157314
8,9,39113
8,10,41692
8,11,18404
8,12,9079
8,13,4360
8,16,2429
9,1,34958
9,2,32510
9,3,24818
9,4,19203
9,5,2713
9,6,16546
9,7,38833
9,8,39274
9,9,174186
9,10,12384
9,11,25363
9,12,3321
9,13,5176
9,16,2883
10,1,12833
10,2,50539
10,3,19754
10,4,16761
10,5,1163
10,6,7327
10,7,11135
10,8,38994
10,9,12388
10,10,114033
10,11,20294
10,12,9310
10,13,4103
10,16,2223
11,1,21388
11,2,36970
11,3,21167
11,4,10865
11,5,1929
11,6,6199
11,7,10066
11,8,18025
11,9,26201
11,10,21237
11,11,91590
11,12,2416
11,13,7011
11,16,4051
12,1,4933
12,2,7350
12,3,7143
12,4,8402
12,5,396
12,6,5229
12,7,3243
12,8,9040
12,9,3397
12,10,9935
12,11,2311
12,12,15927
12,13,1126
12,16,439
13,1,5624
13,2,5855
13,3,12823
13,4,6278
13,5,579
13,6,1499
13,7,11479
13,8,4292
13,9,5080
13,10,4153
13,11,7006
13,12,1135
13,13,14678
13,16,354
16,1,3161
16,2,9663
16,3,1094
16,4,2700
16,5,129
16,6,2211
16,7,2572
16,8,2282
16,9,2922
16,10,2083
16,11,4064
16,12,455
16,13,341
16,16,8536
