"station","transfer","duration","value","count"
"陕西南路","1to10",4,9,0.0011
"陕西南路","1to10",5,112,0.0146
"陕西南路","1to10",6,851,0.1172
"陕西南路","1to10",7,1741,0.3272
"陕西南路","1to10",8,1731,0.536
"陕西南路","1to10",9,1199,0.6806
"陕西南路","1to10",10,825,0.7801
"陕西南路","1to10",11,534,0.8445
"陕西南路","1to10",12,315,0.8825
"陕西南路","1to10",13,227,0.9099
"陕西南路","1to10",14,147,0.9276
"陕西南路","1to10",15,90,0.9385
"陕西南路","1to10",16,70,0.9469
"陕西南路","1to10",17,72,0.9556
"陕西南路","1to10",18,65,0.9635
"陕西南路","1to10",19,43,0.9686
"陕西南路","1to10",20,41,0.9736
"陕西南路","1to10",21,48,0.9794
"陕西南路","1to10",22,34,0.9835
"陕西南路","1to10",23,20,0.9859
"陕西南路","1to10",24,27,0.9891
"陕西南路","1to10",25,22,0.9918
"陕西南路","1to10",26,19,0.9941
"陕西南路","1to10",27,14,0.9958
"陕西南路","1to10",28,19,0.9981
"陕西南路","1to10",29,11,0.9994
"陕西南路","1to10",30,5,1
"上海火车站","1to3",3,12,7e-04
"上海火车站","1to3",4,310,0.0176
"上海火车站","1to3",5,4267,0.2513
"上海火车站","1to3",6,6250,0.5935
"上海火车站","1to3",7,3937,0.8091
"上海火车站","1to3",8,1837,0.9097
"上海火车站","1to3",9,645,0.945
"上海火车站","1to3",10,286,0.9607
"上海火车站","1to3",11,149,0.9688
"上海火车站","1to3",12,85,0.9735
"上海火车站","1to3",13,65,0.9771
"上海火车站","1to3",14,45,0.9795
"上海火车站","1to3",15,34,0.9814
"上海火车站","1to3",16,47,0.984
"上海火车站","1to3",17,24,0.9853
"上海火车站","1to3",18,32,0.987
"上海火车站","1to3",19,35,0.9889
"上海火车站","1to3",20,22,0.9901
"上海火车站","1to3",21,20,0.9912
"上海火车站","1to3",22,23,0.9925
"上海火车站","1to3",23,16,0.9934
"上海火车站","1to3",24,23,0.9946
"上海火车站","1to3",25,16,0.9955
"上海火车站","1to3",26,22,0.9967
"上海火车站","1to3",27,22,0.9979
"上海火车站","1to3",28,20,0.999
"上海火车站","1to3",29,10,0.9996
"上海火车站","1to3",30,8,1
"陕西南路","10to1",3,1,1e-04
"陕西南路","10to1",4,4,6e-04
"陕西南路","10to1",5,60,0.0078
"陕西南路","10to1",6,456,0.0624
"陕西南路","10to1",7,1389,0.2288
"陕西南路","10to1",8,1821,0.4469
"陕西南路","10to1",9,1572,0.6352
"陕西南路","10to1",10,1061,0.7622
"陕西南路","10to1",11,616,0.836
"陕西南路","10to1",12,367,0.88
"陕西南路","10to1",13,230,0.9075
"陕西南路","10to1",14,149,0.9254
"陕西南路","10to1",15,109,0.9384
"陕西南路","10to1",16,65,0.9462
"陕西南路","10to1",17,64,0.9539
"陕西南路","10to1",18,56,0.9606
"陕西南路","10to1",19,49,0.9665
"陕西南路","10to1",20,43,0.9716
"陕西南路","10to1",21,33,0.9756
"陕西南路","10to1",22,21,0.9781
"陕西南路","10to1",23,33,0.982
"陕西南路","10to1",24,25,0.985
"陕西南路","10to1",25,27,0.9883
"陕西南路","10to1",26,18,0.9904
"陕西南路","10to1",27,15,0.9922
"陕西南路","10to1",28,28,0.9956
"陕西南路","10to1",29,12,0.997
"陕西南路","10to1",30,25,1
"上海火车站","3to1",3,5,3e-04
"上海火车站","3to1",4,60,0.0036
"上海火车站","3to1",5,1434,0.083
"上海火车站","3to1",6,6934,0.4668
"上海火车站","3to1",7,6015,0.7997
"上海火车站","3to1",8,2065,0.914
"上海火车站","3to1",9,541,0.9439
"上海火车站","3to1",10,240,0.9572
"上海火车站","3to1",11,141,0.965
"上海火车站","3to1",12,103,0.9707
"上海火车站","3to1",13,81,0.9752
"上海火车站","3to1",14,43,0.9776
"上海火车站","3to1",15,37,0.9796
"上海火车站","3to1",16,38,0.9817
"上海火车站","3to1",17,31,0.9835
"上海火车站","3to1",18,28,0.985
"上海火车站","3to1",19,30,0.9867
"上海火车站","3to1",20,34,0.9885
"上海火车站","3to1",21,23,0.9898
"上海火车站","3to1",22,30,0.9915
"上海火车站","3to1",23,39,0.9936
"上海火车站","3to1",24,18,0.9946
"上海火车站","3to1",25,12,0.9953
"上海火车站","3to1",26,22,0.9965
"上海火车站","3to1",27,13,0.9972
"上海火车站","3to1",28,16,0.9981
"上海火车站","3to1",29,19,0.9992
"上海火车站","3to1",30,15,1
